id,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
130,L52498,L,303.9,312.8,1345,56.5,21,1,0,0,0,0,0
164,L51721,L,302.5,310.4,1307,54.8,174,1,0,1,0,0,0
228,M17895,M,300.7,309.7,1878,27.9,20,1,0,0,0,0,0
236,L55926,L,297.3,308.6,1258,61.8,144,1,0,0,0,1,0
247,L51801,L,303.0,311.3,1341,51.0,174,1,0,1,0,0,0
260,M18333,M,301.8,310.6,1378,48.3,62,1,0,1,0,0,0
385,L50678,L,301.9,311.1,1374,59.8,228,1,0,0,1,1,0
507,L56196,L,297.3,308.2,1396,52.6,212,1,1,0,0,0,0
661,L53258,L,300.8,310.7,1362,59.1,203,1,0,0,0,1,0
733,M18096,M,300.9,309.4,1422,62.4,113,1,0,1,0,0,0
745,L51284,L,302.0,310.6,1296,67.1,5,1,0,1,0,0,0
888,L50551,L,301.4,310.5,1359,51.2,196,1,0,0,0,0,0
1027,L51819,L,303.1,311.2,1373,48.8,212,1,0,0,0,1,0
1044,M20475,M,303.0,312.3,1488,71.3,175,1,0,0,1,0,0
1285,M17739,M,300.6,309.4,1367,63.2,2,1,0,0,1,0,0
1518,L48514,L,299.0,310.4,1536,49.1,15,1,0,0,0,0,0
1556,M19269,M,302.4,310.1,1372,47.8,61,1,0,1,0,0,0
1613,L56264,L,297.2,307.9,1381,62.4,172,1,0,0,0,1,0
1699,L51231,L,301.8,310.9,1363,46.5,17,1,0,1,0,0,0
1784,H33781,H,302.0,310.8,1376,48.6,197,1,1,1,0,0,0
1796,L47184,L,298.2,308.6,1268,68.2,81,1,0,0,1,0,0
1806,M19005,M,301.9,310.5,1543,34.6,86,1,0,0,0,0,0
1833,L51761,L,303.0,311.2,1346,48.0,69,1,0,1,0,0,0
1882,L56843,L,299.1,310.1,1335,48.8,204,1,0,0,0,1,0
1884,L51831,L,303.4,311.4,1337,51.1,9,1,0,1,0,0,0
2088,L51585,L,302.4,310.2,1331,57.3,2,1,0,1,0,0,0
2105,L51313,L,302.6,310.4,1565,35.0,171,1,0,1,0,0,0
2142,L51364,L,302.2,310.7,1270,55.7,159,1,0,1,0,0,0
2171,L55686,L,298.4,309.6,1710,52.7,163,1,0,0,0,1,0
2230,H32278,H,300.6,309.4,1380,47.6,246,1,0,0,0,0,0
2250,L51210,L,302.0,310.8,1571,37.0,227,1,1,0,0,0,0
2296,L51769,L,302.8,311.1,1353,52.3,81,1,0,1,0,0,0
2355,M18724,M,302.5,311.4,1629,31.7,225,1,0,0,0,0,0
2542,M19411,M,302.6,310.5,1357,54.3,204,1,0,1,0,0,0
2577,M19115,M,302.5,311.0,1298,68.0,111,1,0,1,0,0,0
2609,H33815,H,302.4,310.2,1368,51.5,31,1,0,1,0,0,0
2656,L48514,L,298.7,310.4,1365,49.1,226,1,0,0,0,1,0
2673,L49315,L,299.4,309.0,1343,72.6,92,1,0,0,0,1,0
2708,L48027,L,296.4,307.4,2833,5.6,213,1,0,0,0,0,0
2870,L49342,L,299.6,309.1,1336,58.1,217,1,0,0,0,1,0
2891,L53319,L,300.8,310.7,1386,63.5,76,1,0,0,1,0,0
2973,M19279,M,302.6,310.2,1382,53.6,79,1,0,1,0,0,0
2988,L54886,L,300.7,311.5,1452,59.1,19,1,0,0,1,0,0
3118,H33553,H,302.3,310.2,1391,49.5,42,1,0,1,0,0,0
3122,L56195,L,297.2,308.1,1269,56.8,200,1,0,0,0,1,0
3161,L51169,L,302.4,311.2,1402,59.1,127,1,0,0,1,0,0
3248,L56844,L,299.1,310.2,1317,46.0,119,1,0,0,0,0,0
3302,L51768,L,302.8,311.0,1356,48.2,85,1,0,1,0,0,0
3539,M17028,M,299.5,309.1,1320,67.5,5,1,0,0,0,1,0
3561,M18886,M,302.1,311.0,1574,34.1,215,1,0,0,0,0,0
3582,M19157,M,301.8,310.1,1553,35.8,217,1,1,0,0,0,0
3594,L51261,L,302.0,310.4,1397,62.9,110,1,0,0,0,1,0
3779,L54267,L,300.6,310.3,1429,47.8,208,1,0,0,0,0,0
3797,M18618,M,302.4,311.1,1326,62.5,161,1,0,0,0,0,0
3856,M19269,M,302.4,310.1,2861,4.0,200,1,0,0,1,0,0
3899,M22030,M,300.0,310.2,1365,44.8,204,1,1,0,0,0,0
3925,L56195,L,297.2,308.1,1399,58.7,210,1,0,0,0,1,0
3932,M19146,M,301.8,310.2,1379,54.2,215,1,0,1,0,0,0
3995,L51585,L,302.4,310.1,1465,45.5,7,1,0,0,0,0,0
4062,M19030,M,302.2,310.6,1501,66.7,101,1,0,0,1,0,0
4147,L51621,L,302.5,310.2,1359,46.8,148,1,0,1,0,0,0
4270,M15838,M,296.2,306.8,1335,60.2,134,1,0,0,0,0,0
4307,M19509,M,302.5,311.9,1308,52.0,45,1,0,1,0,0,0
4343,L48464,L,298.3,309.5,2153,15.3,93,1,0,0,1,0,0
4509,L54263,L,300.6,310.4,1416,61.8,209,1,0,0,0,0,0
4553,M19461,M,303.0,311.1,1399,53.7,117,1,0,1,0,0,0
4566,L51816,L,302.3,311.3,1362,56.8,126,1,0,1,0,0,0
4595,L51564,L,301.9,309.6,1350,62.9,225,1,0,1,0,0,0
4721,L52752,L,302.4,312.0,1364,49.9,54,1,0,0,0,0,0
4836,L48254,L,297.0,307.7,1377,62.3,105,1,0,0,0,1,0
4939,L49594,L,299.1,308.5,1318,56.8,0,1,0,0,0,0,0
4977,L51462,L,301.8,310.0,1286,62.9,9,1,0,1,0,0,0
5228,L55017,L,300.3,311.2,1381,44.4,202,1,0,0,0,1,0
5238,M15054,M,298.5,308.5,2678,10.7,86,1,0,0,0,0,0
5394,H33834,H,302.6,310.2,1873,21.3,87,1,0,1,0,0,0
5404,L51374,L,302.4,311.0,1359,44.7,181,1,0,1,0,0,0
5411,L47507,L,297.7,308.5,1662,56.7,79,1,0,0,0,1,0
5428,L51290,L,302.0,310.6,1361,55.6,182,1,0,1,0,0,0
5474,L56833,L,299.0,310.0,1367,55.7,201,1,0,0,0,1,0
5553,L51822,L,303.2,311.4,1238,56.2,226,1,0,0,0,1,0
5726,M19317,M,302.5,310.3,1326,54.0,186,1,0,1,0,0,0
5945,L55304,L,300.2,311.4,1353,51.0,40,1,0,0,0,1,0
6168,L51344,L,302.2,310.6,1436,47.5,192,1,0,1,0,0,0
6241,L52016,L,303.4,311.9,1435,47.0,217,1,0,0,0,1,0
6256,L52888,L,302.3,311.7,1611,38.6,168,1,1,0,0,0,0
6308,L51792,L,303.0,311.3,1379,47.7,148,1,0,1,0,1,0
6373,M19416,M,302.7,310.6,1349,52.3,12,1,0,1,0,0,0
6380,M18981,M,302.1,310.7,1525,47.8,204,1,0,0,0,0,0
6650,L47251,L,298.9,309.0,2549,13.0,191,1,0,0,0,1,0
6692,L52016,L,303.3,311.8,1354,45.7,107,1,0,1,0,0,0
6751,M15054,M,298.4,308.5,1423,10.7,86,1,0,0,1,0,0
6818,L51508,L,301.6,310.1,1368,50.7,10,1,0,1,0,0,0
6935,L51214,L,302.0,310.8,1495,39.0,235,1,1,0,0,0,0
6939,M19403,M,302.5,310.4,1351,52.6,187,1,0,1,0,0,0
7114,L52984,L,301.5,310.9,1376,54.6,215,1,0,0,0,1,0
7134,L48559,L,298.7,310.1,1340,59.0,112,1,0,0,0,0,0
7182,L48265,L,297.0,307.8,1717,56.4,202,1,0,0,0,0,0
7194,L55300,L,300.2,311.4,2289,18.4,20,1,0,0,1,0,0
7264,L53856,L,301.5,310.7,1359,51.5,207,1,0,0,0,1,0
7324,L54690,L,300.5,311.7,1395,41.2,167,1,1,0,0,0,0
7371,H35323,H,300.7,310.2,1580,40.7,208,1,1,0,0,1,0
