id,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
90418,L49271,L,299.5,309.2,1399,47.4,20,0,0,0,0,0,0
103002,L53040,L,301.3,311.0,1497,45.5,84,0,0,0,0,0,0
9653,L54424,L,299.8,309.7,1472,42.3,193,0,0,0,0,0,0
106459,M16074,M,296.8,307.8,1419,47.3,0,0,0,0,0,0,0
133925,L50355,L,300.3,309.6,1488,39.7,82,0,0,0,0,0,0
70760,L50881,L,302.0,311.2,1693,28.1,15,0,0,0,0,0,0
46814,L55823,L,297.5,308.5,1426,54.3,83,0,0,0,0,0,0
86208,L47447,L,298.1,308.2,1621,31.1,46,0,0,0,0,0,0
15883,M17672,M,300.0,309.1,1413,35.4,117,0,0,0,0,0,0
62192,L54691,L,300.4,311.8,1601,36.1,155,0,0,0,0,0,0
3046,L50548,L,301.5,310.8,1724,28.6,13,0,0,0,0,0,0
39619,L55512,L,298.6,309.7,1244,59.5,136,0,0,0,0,0,0
21762,L56070,L,297.7,308.8,1469,34.2,114,0,0,0,0,0,0
31223,L53106,L,300.2,310.1,1440,51.1,24,0,0,0,0,0,0
35968,L49923,L,299.8,309.4,1411,48.1,158,0,0,0,0,0,0
73816,L53273,L,301.0,310.8,1615,32.4,20,0,0,0,0,0,0
107314,M18175,M,301.5,310.6,1572,38.5,100,0,0,0,0,0,0
82741,L55145,L,300.7,312.1,1412,46.3,87,0,0,0,0,0,0
87002,M24031,M,297.7,308.9,1675,27.3,190,0,0,0,0,0,0
36207,L50852,L,302.3,310.6,1378,50.5,150,0,0,0,0,0,0
20184,L49196,L,298.5,308.3,1532,40.2,44,0,0,0,0,0,0
37567,L57111,L,298.3,308.3,1532,35.7,64,0,0,0,0,0,0
24359,L53261,L,300.9,310.8,1517,44.1,181,0,0,0,0,0,0
3727,M20954,M,300.9,310.8,1651,28.1,22,0,0,0,0,0,0
96235,L47929,L,296.6,308.0,1410,43.4,101,0,0,0,0,0,0
99206,L56600,L,298.0,308.5,1556,38.6,204,0,0,0,0,0,0
18128,L54768,L,300.4,311.1,2013,20.1,168,0,0,0,0,0,0
102800,L53142,L,300.5,310.8,1501,40.2,125,0,0,0,0,0,0
113250,L53886,L,301.4,310.6,1381,48.1,70,0,0,0,0,0,0
134745,L50311,L,300.0,309.4,1459,40.9,57,0,0,0,0,0,0
70953,L54970,L,300.1,311.4,1783,25.8,73,0,0,0,0,0,0
9913,L50165,L,300.4,309.7,1639,31.2,123,0,0,0,0,0,0
108587,L48206,L,296.4,307.4,1466,43.2,46,0,0,0,0,0,0
99641,L51551,L,302.0,309.9,1546,41.5,174,0,0,0,0,0,0
4625,L51262,L,302.0,310.4,1610,35.5,168,0,0,0,0,0,0
99677,L48889,L,298.2,307.7,1667,30.0,121,0,0,0,0,0,0
79597,M24696,M,298.2,309.1,1763,31.4,139,0,0,0,0,0,0
132029,L52283,L,304.1,313.4,1575,33.1,111,0,0,0,0,0,0
37189,M24487,M,299.0,310.1,1496,38.6,155,0,0,0,0,0,0
195,L52866,L,302.3,311.7,1463,41.9,89,0,0,0,0,0,0
21456,M15532,M,297.6,308.9,1467,42.9,194,0,0,0,0,0,0
88415,M23514,M,297.4,308.6,1441,45.0,143,0,0,0,0,0,0
18474,H39268,H,298.3,309.3,1563,33.5,56,0,0,0,0,0,0
115097,L50721,L,301.9,310.8,1546,43.4,49,0,0,0,0,0,0
82977,L54714,L,300.0,311.2,1491,39.7,58,0,0,0,0,0,0
71905,L55861,L,297.2,308.4,1457,30.0,5,0,0,0,0,0,0
79002,L56272,L,297.3,308.1,1458,42.7,194,0,0,0,0,0,0
16472,L55296,L,300.3,311.8,1287,62.6,12,0,0,0,0,0,0
99694,M17064,M,299.7,309.2,1438,46.1,102,0,0,0,0,0,0
35510,L56636,L,298.5,309.3,1387,52.9,116,0,0,0,0,0,0
99483,H34262,H,303.5,312.0,1453,52.9,80,0,0,0,0,0,0
85166,L48899,L,298.2,308.0,1530,39.1,87,0,0,0,0,0,0
16439,L56251,L,297.0,308.1,1566,35.7,138,0,0,0,0,0,0
126614,L53030,L,301.3,311.1,1873,23.0,188,0,0,0,0,0,0
111180,L54448,L,300.5,310.5,1543,36.2,30,0,0,0,0,0,0
